number;designationOfficial;lv95East;lv95North
8579240;Montpreveyres, Balances;2546132.0;1158503.0
8579250;Mollie-Margot, centre;2547236.0;1156368.0
8579234;Ecublens VD, EPFL Piccard;2533226.62602;1152482.70215
8579251;Forel (Lavaux), Cornes de Cerf;2548697.0;1154694.0
8579248;Pully, Trois-Chasseurs;2542140.0;1153953.0
8579235;Le Mont-sur-L., Coppoz;2538450.0;1156789.0
8579246;Lausanne, Rovéréaz;2540857.0;1153784.0
8579249;Pully, Monts-de-Pully;2542462.0;1154129.0
8579260;Lutry, Croix/Lutry;2543535.0;1152022.0
8579254;Lausanne, St-François;2538215.0;1152325.0
8579247;Montblesson, Centenaire;2541634.0;1154209.0
8579255;Lausanne, Pont-de-Chailly;2539634.0;1153061.0
8579253;Lausanne, Montbenon;2537922.0;1152376.0
